1618185600000,59998.80000000,60355.00000000,59837.64000000,59875.68000000,765.54757100,1618186499999,46025694.65751026,30601,419.16178400,25200712.15969254,0
1618186500000,59875.68000000,60029.00000000,59605.00000000,59670.60000000,523.80804600,1618187399999,31297135.10420856,19366,270.44128000,16164165.33795872,0
1618187400000,59669.45000000,59865.49000000,59658.23000000,59762.60000000,276.16089600,1618188299999,16500545.42999697,13821,134.98019500,8065358.33698835,0
1618188300000,59762.60000000,59854.73000000,59736.59000000,59830.28000000,259.49463900,1618189199999,15513200.29336536,13404,121.10181100,7239369.96680200,0
1618189200000,59830.28000000,59984.67000000,59800.00000000,59979.13000000,374.80807200,1618190099999,22447287.74699439,13023,199.68446600,11958863.27542338,0
1618190100000,59979.13000000,60147.90000000,59854.44000000,59862.94000000,509.72845200,1618190999999,30594804.02268378,16312,218.83886500,13135099.30213671,0
1618191000000,59862.94000000,59988.00000000,59827.90000000,59899.32000000,324.99509700,1618191899999,19472823.49101462,11612,148.90336000,8921130.85560950,0
1618191900000,59899.32000000,60000.00000000,59820.60000000,59865.36000000,311.76480300,1618192799999,18681763.51524355,10784,157.95529400,9465014.35956920,0
1618192800000,59865.36000000,59922.88000000,59756.29000000,59812.16000000,332.08908200,1618193699999,19866831.74863100,13036,162.14014900,9699432.17934235,0
1618193700000,59812.16000000,59867.95000000,59779.89000000,59779.90000000,239.87378800,1618194599999,14351855.30724001,11444,109.62760500,6559042.19862492,0
1618194600000,59779.89000000,59862.64000000,59713.90000000,59713.90000000,343.00399300,1618195499999,20502982.37902759,12480,176.16292900,10530280.47027640,0
1618195500000,59713.16000000,59764.54000000,59586.01000000,59694.25000000,353.17258200,1618196399999,21073862.31628822,12579,158.16552100,9438233.59736200,0
1618196400000,59694.26000000,59825.76000000,59665.00000000,59798.62000000,324.84931400,1618197299999,19411390.66344145,14594,180.13390900,10764572.15785432,0
1618197300000,59798.61000000,59959.38000000,59780.21000000,59956.06000000,350.93201000,1618198199999,20998756.35427402,14074,160.87505300,9626833.31532593,0
1618198200000,59956.06000000,60320.00000000,59938.87000000,60315.38000000,709.35967800,1618199099999,42625144.22581459,20157,430.04588700,25846754.65216870,0
1618199100000,60315.38000000,60456.29000000,60140.40000000,60368.96000000,713.43478600,1618199999999,43024100.22283342,19767,382.48291700,23067505.38331216,0
1618200000000,60368.95000000,60600.00000000,60279.97000000,60573.84000000,950.45231100,1618200899999,57466109.05700456,22851,577.93099700,34945151.19639746,0
1618200900000,60573.85000000,60607.00000000,60345.83000000,60391.56000000,483.80581400,1618201799999,29261131.05102601,14996,255.71348400,15466949.28299685,0
1618201800000,60391.56000000,60447.59000000,60161.61000000,60284.53000000,548.14733200,1618202699999,33047212.04717940,18625,268.95469800,16215656.45266839,0
1618202700000,60284.52000000,60305.86000000,60056.00000000,60126.54000000,519.77967100,1618203599999,31301178.98701034,17826,250.34825000,15075980.70944251,0
1618203600000,60126.54000000,60264.57000000,60020.00000000,60239.25000000,447.19038900,1618204499999,26887893.50211156,16594,225.65840000,13569181.25592844,0
1618204500000,60239.25000000,60287.19000000,60128.89000000,60156.13000000,458.63941400,1618205399999,27607271.71389457,13737,228.44317700,13751985.96327606,0
1618205400000,60156.13000000,60174.26000000,60045.92000000,60156.03000000,367.01719600,1618206299999,22063971.18723395,13933,193.99227500,11662079.25130596,0
1618206300000,60156.03000000,60214.33000000,60121.00000000,60207.01000000,279.61045800,1618207199999,16821462.42509588,12623,134.76421200,8107550.68742742,0
1618207200000,60207.01000000,60255.58000000,60101.19000000,60159.21000000,375.46423000,1618208099999,22589254.51030455,17728,178.08902200,10713755.84446589,0
1618208100000,60159.21000000,60324.12000000,60112.31000000,60320.00000000,436.66005000,1618208999999,26304074.52662005,19773,228.14640300,13743310.06023902,0
1618209000000,60320.00000000,60500.00000000,60318.03000000,60435.31000000,758.18552800,1618209899999,45818149.96581240,23682,429.09238800,25935222.18910269,0
1618209900000,60435.31000000,60842.92000000,60345.51000000,60826.66000000,1089.62208600,1618210799999,66050245.86577196,36770,596.31440300,36154548.48512156,0
1618210800000,60829.68000000,60999.00000000,60678.20000000,60840.40000000,1067.85574800,1618211699999,64966133.64576641,31464,568.93019100,34616613.60327245,0
1618211700000,60840.40000000,61100.00000000,60827.63000000,61042.44000000,1402.75843100,1618212599999,85539155.25677026,32047,918.66420300,56022507.68550534,0
1618212600000,61042.44000000,61300.00000000,60883.15000000,60969.77000000,1547.90703700,1618213499999,94534962.57100365,44643,896.95400400,54785484.62760609,0
1618213500000,60969.77000000,60993.88000000,60636.59000000,60711.01000000,799.98554900,1618214399999,48648325.95500723,25314,430.84579900,26200255.67486065,0
1618214400000,60711.00000000,60840.57000000,60593.91000000,60690.01000000,867.10416200,1618215299999,52643865.93200359,24363,496.11862100,30120639.71297915,0
1618215300000,60690.00000000,60827.83000000,60666.29000000,60722.17000000,523.41640300,1618216199999,31805087.98725662,17843,280.26549000,17029561.29278840,0
1618216200000,60722.16000000,60756.53000000,60536.35000000,60549.09000000,517.67011200,1618217099999,31391391.14841884,18253,237.14140700,14379585.93523845,0
1618217100000,60549.08000000,60758.59000000,60545.18000000,60694.42000000,562.32459300,1618217999999,34115010.70308621,17770,299.38386500,18162485.49928355,0
1618218000000,60694.42000000,60878.25000000,60557.84000000,60649.11000000,697.93223700,1618218899999,42405251.01865680,23377,325.04708200,19748172.40057722,0
1618218900000,60649.12000000,60800.00000000,60633.06000000,60732.03000000,597.31133800,1618219799999,36277553.31919417,21739,304.13479700,18471908.58845265,0
